Data_Receita;UF;RECEITA;Realizado
16/01/2022;MA;CFEM;14208,74 
18/01/2022;MA;FEP;719937,71 
19/01/2022;MA;FPM;56972497,09 
20/01/2022;MA;ICMS;70700563,89 
21/01/2022;MA;IPI;702313,98 
22/01/2022;MA;IPVA;5833637,06 
23/01/2022;MA;CFEM AFETADOS;7379090,10 
16/02/2022;MA;CFEM;15555,34 
18/02/2022;MA;FEP;786058,29 
19/02/2022;MA;FPM;74870189,54 
20/02/2022;MA;ICMS;53251349,76 
21/02/2022;MA;IPI;558950,13 
22/02/2022;MA;IPVA;11446102,25 
23/02/2022;MA;CFEM AFETADOS;7745104,35 
16/03/2022;MA;CFEM;4406,73 
18/03/2022;MA;FEP;1004659,51 
19/03/2022;MA;FPM;49978396,84 
20/03/2022;MA;ICMS;54307377,96 
21/03/2022;MA;IPI;663711,26 
22/03/2022;MA;IPVA;20235774,17 
23/03/2022;MA;CFEM AFETADOS;8039157,71 
16/04/2022;MA;CFEM;13080,40 
18/04/2022;MA;FEP;1013364,85 
19/04/2022;MA;FPM;52217882,48 
20/04/2022;MA;ICMS;53954686,74 
21/04/2022;MA;IPI;665671,44 
22/04/2022;MA;IPVA;9143861,12 
23/04/2022;MA;CFEM AFETADOS;8154040,49 
16/05/2022;MA;CFEM;10030,86 
18/05/2022;MA;FEP;1206578,05 
19/05/2022;MA;FPM;62896448,63 
20/05/2022;MA;ICMS;55920172,76 
21/05/2022;MA;IPI;643409,17 
22/05/2022;MA;IPVA;6007721,18 
23/05/2022;MA;CFEM AFETADOS;8817135,74 
16/06/2022;MA;CFEM;5286,97 
18/06/2022;MA;FEP;1178645,46 
19/06/2022;MA;FPM;54303436,25 
20/06/2022;MA;ICMS;53960320,30 
21/06/2022;MA;IPI;590209,70 
22/06/2022;MA;IPVA;9007075,04 
23/06/2022;MA;CFEM AFETADOS;11692969,49 
16/07/2022;MA;CFEM;17603,61 
18/07/2022;MA;FEP;1202812,06 
19/07/2022;MA;FPM;47266804,56 
20/07/2022;MA;ICMS;57741178,99 
21/07/2022;MA;IPI;681692,47 
22/07/2022;MA;IPVA;8871977,41 
23/07/2022;MA;CFEM AFETADOS;10667310,85 
16/08/2022;MA;CFEM;8068,36 
18/08/2022;MA;FEP;1175485,06 
19/08/2022;MA;FPM;59387726,78 
20/08/2022;MA;ICMS;68371838,96 
21/08/2022;MA;IPI;573245,53 
22/08/2022;MA;IPVA;10415159,43 
23/08/2022;MA;CFEM AFETADOS;9073521,48 
16/09/2022;MA;CFEM;9173,75 
18/09/2022;MA;FEP;1308402,57 
19/09/2022;MA;FPM;46492924,57 
20/09/2022;MA;ICMS;60732647,26 
21/09/2022;MA;IPI;682070,39 
22/09/2022;MA;IPVA;5843569,27 
23/09/2022;MA;CFEM AFETADOS;8953559,71 
16/10/2022;MA;CFEM;13481,47 
18/10/2022;MA;FEP;1284653,02 
19/10/2022;MA;FPM;51886650,57 
20/10/2022;MA;ICMS;67577149,16 
21/10/2022;MA;IPI;772512,79 
22/10/2022;MA;IPVA;5248552,66 
23/10/2022;MA;CFEM AFETADOS;14593997,76 
16/11/2022;MA;CFEM;9586,44 
18/11/2022;MA;FEP;1376103,78 
19/11/2022;MA;FPM;67590417,10 
20/11/2022;MA;ICMS;69609123,45 
21/11/2022;MA;IPI;672568,80 
22/11/2022;MA;IPVA;3590606,21 
23/11/2022;MA;CFEM AFETADOS;10958458,51 
16/12/2022;MA;CFEM;17124,43 
18/12/2022;MA;FEP;1550562,87 
19/12/2022;MA;FPM;70182964,88 
20/12/2022;MA;ICMS;73650371,32 
21/12/2022;MA;IPI;687603,04 
22/12/2022;MA;IPVA;3323415,23 
23/12/2022;MA;CFEM AFETADOS;8874277,86 
